C1, C2, C3, C4, C5, C6, L1, L2, L3, T1, g, r, e
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.1, 1.160767, 0.3441917, 0.034497896717440094
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.2, 1.537095, 0.536778, -1.265815990921209
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.30000000000000004, 2.131255, 0.6461423, -2.9036584351708608
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.4, 4.616109, 0.6559221, -4.062758813967159
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.5, 6.372511, 0.5580913, -3.528106157222108
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.6, 4.837046, 0.5428141, -2.9572532489274854
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.7000000000000001, 4.359453, 0.5857423, -4.892908084642187
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.8, 4.823033, 1.035839, -16.045192226591176
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.9, 0.397431, 5.23525, -12.93663442682484
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.1, 1.043823, 0.3220242, 0.557915256937913
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.2, 1.470704, 0.606507, -0.539709201882373
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.30000000000000004, 4.718482, 0.9818736, -4.832364430825895
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.4, 5.709164, 0.8475957, -5.2398820946969416
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.5, 5.70819, 0.9101169, -5.722887499178543
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.6, 7.432808, 1.770085, -18.088884834754843
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.7000000000000001, 0.311213, 54.1302, -27.678399179345703
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.8, 0.593414, 14.7566, -19.984334350012105
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.9, 0.753839, 2.66279, -6.3111435002649054
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.1, 1.127677, 0.440622, 0.1939973098997396
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.2, 1.398388, 0.8004359, -1.0333192962428337
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.30000000000000004, 1.808474, 0.960611, -1.9351108191799022
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.4, 3.064809, 1.088858, -2.1890609370025467
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.5, 6.246195, 0.8875315, -3.422881719205354
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.6, 5.89301, 0.8345158, -3.084938992421333
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.7000000000000001, 5.834453, 1.108112, -4.158390929554287
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.8, 2.079718, 2.27982, -4.010449774478026
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 0.9, 0.5782227, 24.09604, -9.447814496185636
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.1, 0.9961531, 0.4223029, 0.5388731914668287
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.2, 1.261544, 0.8216289, -0.3455852301573888
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.30000000000000004, 2.327619, 1.407503, -2.371753713450277
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.4, 4.277182, 1.286264, -4.1416401604216295
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.5, 4.213697, 1.35681, -4.262407280281221
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.6, 2.269455, 3.263849, -5.759903440789105
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.7000000000000001, 0.01053202, 632.0049, -4.768034212980803
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.8, 0.0134106, 384.517, -3.6228386160077473
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.001, 0.9, 0.2047293, 42.96955, -5.165278202818922
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.1, 1.291238, 0.290777, 0.5254389772367335
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.2, 1.92845, 0.4067189, -0.018550440592171393
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 1e-06, 1e-06, 0.30000000000000004, 2.369187, 0.4341371, -0.3395696846434007
