C1, C2, C3, C4, C5, C6, L1, L2, L3, T1, g, r, e
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.1, 0.4401264, 0.9143539, -3.903843770955973
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.2, 0.4108321, 1.152453, -9.022483500974216
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.30000000000000004, 0.3531925, 1.521469, -14.144001939094283
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.4, 0.2560827, 2.190335, -19.268401589910486
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.5, 0.1479183, 3.205281, -24.39541857686878
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.6, 0.07304307, 4.299837, -29.52502357868025
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.7000000000000001, 0.03692398, 4.600436, -34.65743635697789
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.8, 0.02132654, 3.487021, -39.79279913764628
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.9, 0.01173444, 1.942515, -44.93111215395112
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.1, 0.0102389, 2.83099, 0.9840736626150374
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.2, 0.002564269, 0.43517, 0.9676818540254938
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.30000000000000004, 0.00254265, 0.4438012, 0.9511913603300642
1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.001, 0.4, 0.002506381, 0.4619561, 0.9347356057558146
